series_id	status	title	reason
579	not_found	Aka no Sekai	Candidates existed, but none reached the safe match threshold.
580	not_found	Akatsuki no Fumi	SparkManga search returned no usable /manga/ candidate.
582	not_found	Alice's Dream Files	SparkManga search returned no usable /manga/ candidate.
583	not_found	Alladin and the Magic Teapot	SparkManga search returned no usable /manga/ candidate.
585	not_found	Aru Hi Bijin ni Nattara	SparkManga search returned no usable /manga/ candidate.
587	not_found	Alabaster	SparkManga search returned no usable /manga/ candidate.
588	not_found	Atashi Hitori de Daijoubu	SparkManga search returned no usable /manga/ candidate.
590	ambiguous	Ai-chan	Multiple or borderline candidates; no mapping was guessed.
592	not_found	Arcana+ 01: Boys in Uniform	SparkManga search returned no usable /manga/ candidate.
611	not_found	Blackberry	SparkManga search returned no usable /manga/ candidate.
612	not_found	Back Alley Magical Detective Agency	SparkManga search returned no usable /manga/ candidate.
631	not_found	Because Goodbyes Are Coming Soon	SparkManga search returned no usable /manga/ candidate.
633	not_found	Boku no Mei	Candidates existed, but none reached the safe match threshold.
638	not_found	Chocolate Cosmos	SparkManga search returned no usable /manga/ candidate.
713	not_found	Captain Tsubasa: Saikyo no Teki! Holland Youth	SparkManga search returned no usable /manga/ candidate.
715	not_found	Cloud Atlas	SparkManga search returned no usable /manga/ candidate.
724	not_found	Cristo ~ Orange-Eyed Messiah	SparkManga search returned no usable /manga/ candidate.
760	not_found	Digimon Adventure V-Tamer 01	SparkManga search returned no usable /manga/ candidate.
766	not_found	Demon 72	Candidates existed, but none reached the safe match threshold.
780	ambiguous	Dear	Multiple or borderline candidates; no mapping was guessed.
783	not_found	Deka Wanko	SparkManga search returned no usable /manga/ candidate.
784	not_found	Dr. Rabbit	SparkManga search returned no usable /manga/ candidate.
786	not_found	Dandan	SparkManga search returned no usable /manga/ candidate.
787	not_found	Distance Between You and Me	SparkManga search returned no usable /manga/ candidate.
788	not_found	Dogimagi!	SparkManga search returned no usable /manga/ candidate.
789	not_found	Doctor Bird	SparkManga search returned no usable /manga/ candidate.
